actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Hugh Jackman,Tyler Mane,Bruce Davison,Bryan Singer,Action|Adventure|Sci-Fi,x-m,Hugh Jackman Tyler Mane Bruce Davison Bryan Singer Action|Adventure|Sci-Fi
Angelina Jolie Pitt,Morgan Freeman,Common,Timur Bekmambetov,Action|Crime|Fantasy|Thriller,want,Angelina Jolie Pitt Morgan Freeman Common Timur Bekmambetov Action|Crime|Fantasy|Thriller
Nicolas Cage,Michael Biehn,Bokeem Woodbine,Michael Bay,Action|Adventure|Thriller,the ro,Nicolas Cage Michael Biehn Bokeem Woodbine Michael Bay Action|Adventure|Thriller
Denis Leary,Ray Romano,Jay Leno,Carlos Saldanha,Action|Adventure|Animation|Comedy|Family|Fantasy,ice age: the meltdo,Denis Leary Ray Romano Jay Leno Carlos Saldanha Action|Adventure|Animation|Comedy|Family|Fantasy
Adam Sandler,Peter Dante,Allen Covert,Peter Segal,Comedy|Romance,50 first dat,Adam Sandler Peter Dante Allen Covert Peter Segal Comedy|Romance
Jerry Stiller,Elijah Kelley,Paul Dooley,Adam Shankman,Comedy|Drama|Family|Music|Musical|Romance,hairspr,Jerry Stiller Elijah Kelley Paul Dooley Adam Shankman Comedy|Drama|Family|Music|Musical|Romance
James D'Arcy,Alan Ford,Izabella Scorupco,Renny Harlin,Horror|Mystery|Thriller,exorcist: the beginni,James D'Arcy Alan Ford Izabella Scorupco Renny Harlin Horror|Mystery|Thriller
Matthew Broderick,Rene Auberjonois,Rupert Everett,David Kellogg,Action|Adventure|Comedy|Family|Sci-Fi,inspector gadg,Matthew Broderick Rene Auberjonois Rupert Everett David Kellogg Action|Adventure|Comedy|Family|Sci-Fi
Morgan Freeman,Common,Michael Kelly,Louis Leterrier,Crime|Mystery|Thriller,now you see ,Morgan Freeman Common Michael Kelly Louis Leterrier Crime|Mystery|Thriller
Steve Buscemi,Adam Sandler,Salma Hayek,Dennis Dugan,Comedy,grown u,Steve Buscemi Adam Sandler Salma Hayek Dennis Dugan Comedy
Tom Hanks,Chi McBride,Barry Shabaka Henley,Steven Spielberg,Comedy|Drama,the termin,Tom Hanks Chi McBride Barry Shabaka Henley Steven Spielberg Comedy|Drama
Harold Perrineau,Matt Ryan,Charles Halford,uknown,Drama|Fantasy|Horror|Thriller,constantine          ,Harold Perrineau Matt Ryan Charles Halford uknown Drama|Fantasy|Horror|Thriller
Don Cheadle,Kevin Dillon,Yvette Nicole Brown,Thor Freudenthal,Comedy|Family,hotel for do,Don Cheadle Kevin Dillon Yvette Nicole Brown Thor Freudenthal Comedy|Family
Nicholas Lea,Scott Glenn,Ben Mendelsohn,Martin Campbell,Action|Adventure|Drama|Thriller,vertical lim,Nicholas Lea Scott Glenn Ben Mendelsohn Martin Campbell Action|Adventure|Drama|Thriller
Philip Seymour Hoffman,Tom Hanks,Jud Tylor,Mike Nichols,Biography|Comedy|Drama|History,charlie wilson's w,Philip Seymour Hoffman Tom Hanks Jud Tylor Mike Nichols Biography|Comedy|Drama|History
Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,Bibo Bergeron,Adventure|Animation|Comedy|Family,shark ta,Robert De Niro Martin Scorsese Angelina Jolie Pitt Bibo Bergeron Adventure|Animation|Comedy|Family
Loretta Devine,Jennifer Hudson,Anika Noni Rose,Bill Condon,Drama|Music|Musical,dreamgir,Loretta Devine Jennifer Hudson Anika Noni Rose Bill Condon Drama|Music|Musical
Adam Arkin,Brent Sexton,Damian Lewis,uknown,Crime|Drama|Mystery,life          ,Adam Arkin Brent Sexton Damian Lewis uknown Crime|Drama|Mystery
Dwayne Johnson,Christina Milian,Debi Mazar,F. Gary Gray,Comedy|Crime|Music,be co,Dwayne Johnson Christina Milian Debi Mazar F. Gary Gray Comedy|Crime|Music
Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,Steven Spielberg,Drama|History|Thriller,muni,Ayelet Zurer Moritz Bleibtreu Mathieu Amalric Steven Spielberg Drama|History|Thriller
Bruce Willis,Tom Skerritt,Cole Hauser,Antoine Fuqua,Action|Drama|Thriller|War,tears of the s,Bruce Willis Tom Skerritt Cole Hauser Antoine Fuqua Action|Drama|Thriller|War
Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Robert Luketic,Action|Comedy|Romance|Thriller,kille,Tom Selleck Lisa Ann Walter Catherine O'Hara Robert Luketic Action|Comedy|Romance|Thriller
Henry Cavill,Elizabeth Debicki,Christian Berkel,Guy Ritchie,Action|Adventure|Comedy,the man from u.n.c.l.,Henry Cavill Elizabeth Debicki Christian Berkel Guy Ritchie Action|Adventure|Comedy
Adam Sandler,Paz Vega,Sarah Steele,James L. Brooks,Comedy|Drama|Romance,spangli,Adam Sandler Paz Vega Sarah Steele James L. Brooks Comedy|Drama|Romance
Steve Buscemi,Jon Heder,Catherine O'Hara,Gil Kenan,Animation|Comedy|Family|Fantasy|Mystery,monster hou,Steve Buscemi Jon Heder Catherine O'Hara Gil Kenan Animation|Comedy|Family|Fantasy|Mystery
Bruce Willis,Brían F. O'Byrne,Azura Skye,Barry Levinson,Comedy|Crime|Drama|Romance,bandi,Bruce Willis Brían F. O'Byrne Azura Skye Barry Levinson Comedy|Crime|Drama|Romance
Julia Ormond,Ben Cross,John Gielgud,Jerry Zucker,Action|Adventure|Romance|Thriller,first knig,Julia Ormond Ben Cross John Gielgud Jerry Zucker Action|Adventure|Romance|Thriller
Bai Ling,Geoffrey Palmer,Randall Duk Kim,Andy Tennant,Drama|History|Romance,anna and the ki,Bai Ling Geoffrey Palmer Randall Duk Kim Andy Tennant Drama|History|Romance
Henry Cavill,Daniel Sharman,Steve Byers,Tarsem Singh,Action|Drama|Fantasy|Romance,immorta,Henry Cavill Daniel Sharman Steve Byers Tarsem Singh Action|Drama|Fantasy|Romance
Jimmy Bennett,Bruce Willis,Ransford Doherty,Florent-Emilio Siri,Action|Crime|Drama|Mystery|Thriller,hosta,Jimmy Bennett Bruce Willis Ransford Doherty Florent-Emilio Siri Action|Crime|Drama|Mystery|Thriller
Matt Damon,Janeane Garofalo,Nathan Lane,Don Bluth,Action|Adventure|Animation|Family|Sci-Fi,titan a.,Matt Damon Janeane Garofalo Nathan Lane Don Bluth Action|Adventure|Animation|Family|Sci-Fi
Harrison Ford,Bruce Greenwood,Lena Olin,Ron Shelton,Action|Comedy|Crime|Thriller,hollywood homici,Harrison Ford Bruce Greenwood Lena Olin Ron Shelton Action|Comedy|Crime|Thriller
Connie Nielsen,Sean Pertwee,Jason Scott Lee,Paul W.S. Anderson,Action|Drama|Sci-Fi,soldi,Connie Nielsen Sean Pertwee Jason Scott Lee Paul W.S. Anderson Action|Drama|Sci-Fi
Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,David Pastor,Drama|Horror|Sci-Fi|Thriller,carrie,Christopher Meloni Kiernan Shipka Lou Taylor Pucci David Pastor Drama|Horror|Sci-Fi|Thriller
Brendan Fraser,Bridget Fonda,Megan Mullally,Henry Selick,Animation|Comedy|Fantasy,monkeybo,Brendan Fraser Bridget Fonda Megan Mullally Henry Selick Animation|Comedy|Fantasy
Dennis Quaid,Tony Curran,Miranda Otto,John Moore,Action|Adventure|Drama|Thriller,flight of the phoen,Dennis Quaid Tony Curran Miranda Otto John Moore Action|Adventure|Drama|Thriller
Robin Wright,Bruce Willis,Michael Kelly,M. Night Shyamalan,Drama|Mystery|Sci-Fi|Thriller,unbreakab,Robin Wright Bruce Willis Michael Kelly M. Night Shyamalan Drama|Mystery|Sci-Fi|Thriller
Steve Carell,Jon Hamm,Steve Coogan,Kyle Balda,Action|Animation|Comedy|Family|Sci-Fi,minio,Steve Carell Jon Hamm Steve Coogan Kyle Balda Action|Animation|Comedy|Family|Sci-Fi
Jon Hamm,Abbie Cornish,Scott Glenn,Zack Snyder,Action|Fantasy,sucker pun,Jon Hamm Abbie Cornish Scott Glenn Zack Snyder Action|Fantasy
Nicolas Cage,Mike Starr,John Heard,Brian De Palma,Crime|Mystery|Thriller,snake ey,Nicolas Cage Mike Starr John Heard Brian De Palma Crime|Mystery|Thriller
Peter Coyote,James Pickens Jr.,Huey Lewis,Barry Levinson,Drama|Mystery|Sci-Fi|Thriller,sphe,Peter Coyote James Pickens Jr. Huey Lewis Barry Levinson Drama|Mystery|Sci-Fi|Thriller
Peter Dinklage,Josh Gad,Keegan-Michael Key,Clay Kaytis,Action|Animation|Comedy|Family,the angry birds mov,Peter Dinklage Josh Gad Keegan-Michael Key Clay Kaytis Action|Animation|Comedy|Family
Matthew McConaughey,Ray Winstone,Alexis Dziena,Andy Tennant,Action|Adventure|Comedy|Romance|Thriller,fool's go,Matthew McConaughey Ray Winstone Alexis Dziena Andy Tennant Action|Adventure|Comedy|Romance|Thriller
Adam Sandler,RZA,Maude Apatow,Judd Apatow,Comedy|Drama,funny peop,Adam Sandler RZA Maude Apatow Judd Apatow Comedy|Drama
Jennifer Garner,Frances Fisher,Tim McGraw,Peter Berg,Action|Drama|Thriller,the kingd,Jennifer Garner Frances Fisher Tim McGraw Peter Berg Action|Drama|Thriller
Will Ferrell,Leslie Bibb,Gary Cole,Adam McKay,Action|Comedy|Sport,talladega nights: the ballad of ricky bob,Will Ferrell Leslie Bibb Gary Cole Adam McKay Action|Comedy|Sport
Raven-Symoné,Jeffrey Jones,Kevin Pollak,Steve Carr,Comedy|Family|Fantasy,dr. dolittle,Raven-Symoné Jeffrey Jones Kevin Pollak Steve Carr Comedy|Family|Fantasy
Mhairi Calvey,Patrick McGoohan,James Robinson,Mel Gibson,Biography|Drama|History|War,bravehea,Mhairi Calvey Patrick McGoohan James Robinson Mel Gibson Biography|Drama|History|War
Jake Gyllenhaal,Brian Geraghty,James Morrison,Sam Mendes,Action|Drama|War,jarhe,Jake Gyllenhaal Brian Geraghty James Morrison Sam Mendes Action|Drama|War
Albert Brooks,Yeardley Smith,Marcia Wallace,David Silverman,Adventure|Animation|Comedy,the simpsons mov,Albert Brooks Yeardley Smith Marcia Wallace David Silverman Adventure|Animation|Comedy
Martin Landau,Hal Holbrook,Jeffrey DeMunn,Frank Darabont,Drama|Romance,the majest,Martin Landau Hal Holbrook Jeffrey DeMunn Frank Darabont Drama|Romance
Sylvester Stallone,Estella Warren,Cristián de la Fuente,Renny Harlin,Action|Drama|Sport,driv,Sylvester Stallone Estella Warren Cristián de la Fuente Renny Harlin Action|Drama|Sport
David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Jean-Jacques Annaud,Adventure|Drama|Family,two brothe,David Gant Jean-Claude Dreyfus Oanh Nguyen Jean-Jacques Annaud Adventure|Drama|Family
Bryce Dallas Howard,Judy Greer,William Hurt,M. Night Shyamalan,Drama|Mystery|Romance|Thriller,the villa,Bryce Dallas Howard Judy Greer William Hurt M. Night Shyamalan Drama|Mystery|Romance|Thriller
Oliver Platt,Raven-Symoné,Peter Boyle,Betty Thomas,Comedy|Family|Fantasy,doctor dolitt,Oliver Platt Raven-Symoné Peter Boyle Betty Thomas Comedy|Family|Fantasy
Rory Culkin,Merritt Wever,Cherry Jones,M. Night Shyamalan,Drama|Sci-Fi|Thriller,sig,Rory Culkin Merritt Wever Cherry Jones M. Night Shyamalan Drama|Sci-Fi|Thriller
Rupert Everett,Jennifer Saunders,Conrad Vernon,Andrew Adamson,Adventure|Animation|Comedy|Family|Fantasy|Romance,shrek,Rupert Everett Jennifer Saunders Conrad Vernon Andrew Adamson Adventure|Animation|Comedy|Family|Fantasy|Romance
John Ratzenberger,Cheech Marin,George Carlin,John Lasseter,Adventure|Animation|Comedy|Family|Sport,ca,John Ratzenberger Cheech Marin George Carlin John Lasseter Adventure|Animation|Comedy|Family|Sport
Julia Roberts,Christopher Meloni,Hector Elizondo,Garry Marshall,Comedy|Romance,runaway bri,Julia Roberts Christopher Meloni Hector Elizondo Garry Marshall Comedy|Romance
Vin Diesel,Eve,Leila Arcieri,Rob Cohen,Action|Adventure|Thriller,x,Vin Diesel Eve Leila Arcieri Rob Cohen Action|Adventure|Thriller
Tim Conway,Billy West,Eddie Deezen,Paul Tibbitt,Adventure|Animation|Comedy|Family|Fantasy,the spongebob movie: sponge out of wat,Tim Conway Billy West Eddie Deezen Paul Tibbitt Adventure|Animation|Comedy|Family|Fantasy
Lili Taylor,Delroy Lindo,Rene Russo,Ron Howard,Crime|Thriller,rans,Lili Taylor Delroy Lindo Rene Russo Ron Howard Crime|Thriller
Michael Fassbender,Brad Pitt,Christoph Waltz,Quentin Tarantino,Adventure|Drama|War,inglourious baster,Michael Fassbender Brad Pitt Christoph Waltz Quentin Tarantino Adventure|Drama|War
Robin Williams,Julia Roberts,Bob Hoskins,Steven Spielberg,Adventure|Comedy|Family|Fantasy,ho,Robin Williams Julia Roberts Bob Hoskins Steven Spielberg Adventure|Comedy|Family|Fantasy
Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Brett Ratner,Action|Adventure,hercul,Dwayne Johnson Rufus Sewell Ingrid Bolsø Berdal Brett Ratner Action|Adventure
Bruce Willis,John Amos,Franco Nero,Renny Harlin,Action|Thriller,die hard,Bruce Willis John Amos Franco Nero Renny Harlin Action|Thriller
Jeremy Renner,Josh Charles,LL Cool J,Clark Johnson,Action|Adventure|Crime|Thriller,s.w.a.,Jeremy Renner Josh Charles LL Cool J Clark Johnson Action|Adventure|Crime|Thriller
Nicole Beharie,Katia Winter,Lyndie Greenwood,uknown,Adventure|Drama|Fantasy|Mystery|Thriller,sleepy hollow          ,Nicole Beharie Katia Winter Lyndie Greenwood uknown Adventure|Drama|Fantasy|Mystery|Thriller
Tom Cruise,Ivana Milicevic,Noah Taylor,Cameron Crowe,Fantasy|Mystery|Romance|Sci-Fi|Thriller,vanilla s,Tom Cruise Ivana Milicevic Noah Taylor Cameron Crowe Fantasy|Mystery|Romance|Sci-Fi|Thriller
Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,M. Night Shyamalan,Drama|Fantasy|Mystery|Thriller,lady in the wat,Bryce Dallas Howard Freddy Rodríguez Bob Balaban M. Night Shyamalan Drama|Fantasy|Mystery|Thriller
Sanaa Lathan,Colin Salmon,Raoul Bova,Paul W.S. Anderson,Action|Horror|Sci-Fi|Thriller,avp: alien vs. predat,Sanaa Lathan Colin Salmon Raoul Bova Paul W.S. Anderson Action|Horror|Sci-Fi|Thriller
Amy Poehler,Bridgit Mendler,Jesse McCartney,Betty Thomas,Animation|Comedy|Family|Fantasy|Music,alvin and the chipmunks: the squeakqu,Amy Poehler Bridgit Mendler Jesse McCartney Betty Thomas Animation|Comedy|Family|Fantasy|Music
Jon Hamm,Marc Blucas,Chris Klein,Randall Wallace,Action|Drama|History|War,we were soldie,Jon Hamm Marc Blucas Chris Klein Randall Wallace Action|Drama|History|War
Gerard Butler,Morgan Freeman,Radha Mitchell,Antoine Fuqua,Action|Thriller,olympus has fall,Gerard Butler Morgan Freeman Radha Mitchell Antoine Fuqua Action|Thriller
LeVar Burton,Jonathan Frakes,Michael Dorn,Jonathan Frakes,Action|Adventure|Sci-Fi|Thriller,star trek: insurrecti,LeVar Burton Jonathan Frakes Michael Dorn Jonathan Frakes Action|Adventure|Sci-Fi|Thriller
Noel Fisher,Jim Parrack,Ramon Rodriguez,Jonathan Liebesman,Action|Sci-Fi,battle los angel,Noel Fisher Jim Parrack Ramon Rodriguez Jonathan Liebesman Action|Sci-Fi
Steve Buscemi,Alison Lohman,Albert Finney,Tim Burton,Adventure|Drama|Fantasy,big fi,Steve Buscemi Alison Lohman Albert Finney Tim Burton Adventure|Drama|Fantasy
David Hyde Pierce,Peter Gerety,Ron Rifkin,Mike Nichols,Drama|Horror|Romance|Thriller,wo,David Hyde Pierce Peter Gerety Ron Rifkin Mike Nichols Drama|Horror|Romance|Thriller
Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Steven Spielberg,Drama|War,war hor,Jeremy Irvine Benedict Cumberbatch Eddie Marsan Steven Spielberg Drama|War
Bill Murray,Matt Damon,Bob Balaban,George Clooney,Drama|War,the monuments m,Bill Murray Matt Damon Bob Balaban George Clooney Drama|War
Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,James Cameron,Adventure|Drama|Sci-Fi|Thriller,the aby,Michael Biehn Todd Graff Mary Elizabeth Mastrantonio James Cameron Adventure|Drama|Sci-Fi|Thriller
Frank Langella,Austin Pendleton,John Buffalo Mailer,Oliver Stone,Drama,wall street: money never slee,Frank Langella Austin Pendleton John Buffalo Mailer Oliver Stone Drama
Dominic Cooper,Sarah Gadon,Zach McGowan,Gary Shore,Action|Drama|Fantasy|Horror|War,dracula unto,Dominic Cooper Sarah Gadon Zach McGowan Gary Shore Action|Drama|Fantasy|Horror|War
Denzel Washington,Bruce Willis,Mark Valley,Edward Zwick,Action|Thriller,the sie,Denzel Washington Bruce Willis Mark Valley Edward Zwick Action|Thriller
Henry Cavill,David Kelly,Nathaniel Parker,Matthew Vaughn,Adventure|Family|Fantasy|Romance,stardu,Henry Cavill David Kelly Nathaniel Parker Matthew Vaughn Adventure|Family|Fantasy|Romance
Brad Pitt,Mako,Victor Wong,Jean-Jacques Annaud,Adventure|Biography|Drama|History|War,seven years in tib,Brad Pitt Mako Victor Wong Jean-Jacques Annaud Adventure|Biography|Drama|History|War
Channing Tatum,Clint Howard,Chelcie Ross,Ron Howard,Comedy|Drama,the dilem,Channing Tatum Clint Howard Chelcie Ross Ron Howard Comedy|Drama
Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Joel Schumacher,Action|Adventure|Comedy|Thriller,bad compa,Anthony Hopkins Brooke Smith Garcelle Beauvais Joel Schumacher Action|Adventure|Comedy|Thriller
Dwayne Johnson,Ben Daniels,Dexter Fletcher,Andrzej Bartkowiak,Action|Adventure|Horror|Sci-Fi,do,Dwayne Johnson Ben Daniels Dexter Fletcher Andrzej Bartkowiak Action|Adventure|Horror|Sci-Fi
Gary Cole,Phill Lewis,Tate Taylor,Betty Thomas,Action|Adventure|Comedy|Thriller,i s,Gary Cole Phill Lewis Tate Taylor Betty Thomas Action|Adventure|Comedy|Thriller
Theo James,Stephen Rea,Sandrine Holt,Måns Mårlind,Action|Fantasy|Horror,underworld: awakeni,Theo James Stephen Rea Sandrine Holt Måns Mårlind Action|Fantasy|Horror
James Martin Kelly,Shane Hartline,Celina Beach,Adam Shankman,Comedy|Drama|Musical|Romance,rock of ag,James Martin Kelly Shane Hartline Celina Beach Adam Shankman Comedy|Drama|Musical|Romance
Bruce Willis,Cole Hauser,Rory Cochrane,Gregory Hoblit,Drama|War,hart's w,Bruce Willis Cole Hauser Rory Cochrane Gregory Hoblit Drama|War
Jason Statham,Robert De Niro,Ben Mendelsohn,Gary McKendry,Action|Crime|Thriller,killer eli,Jason Statham Robert De Niro Ben Mendelsohn Gary McKendry Action|Crime|Thriller
LL Cool J,Chris Klein,Andrew Bryniarski,John McTiernan,Action|Sci-Fi|Sport,rollerba,LL Cool J Chris Klein Andrew Bryniarski John McTiernan Action|Sci-Fi|Sport
Talisa Soto,Sandrine Holt,Gregg Henry,Wych Kaosayananda,Action|Crime|Sci-Fi|Thriller,ballistic: ecks vs. sev,Talisa Soto Sandrine Holt Gregg Henry Wych Kaosayananda Action|Crime|Sci-Fi|Thriller
Morgan Freeman,Minnie Driver,Randy Quaid,Mikael Salomon,Action|Crime|Drama|Thriller,hard ra,Morgan Freeman Minnie Driver Randy Quaid Mikael Salomon Action|Crime|Drama|Thriller
Ron Howard,Brandy Norwood,David Hyde Pierce,Bobby Farrelly,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,osmosis jon,Ron Howard Brandy Norwood David Hyde Pierce Bobby Farrelly Action|Adventure|Animation|Comedy|Crime|Family|Fantasy
Lea Michele,Oliver Platt,Jim Belushi,Will Finn,Adventure|Animation|Family|Fantasy|Musical,legends of oz: dorothy's retu,Lea Michele Oliver Platt Jim Belushi Will Finn Adventure|Animation|Family|Fantasy|Musical
Chris Hemsworth,Archie Kao,Brandon Molale,Michael Mann,Action|Crime|Drama|Mystery|Thriller,blackh,Chris Hemsworth Archie Kao Brandon Molale Michael Mann Action|Crime|Drama|Mystery|Thriller
Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Kerry Conran,Action|Adventure|Mystery|Sci-Fi|Thriller,sky captain and the world of tomorr,Angelina Jolie Pitt Laurence Olivier Bai Ling Kerry Conran Action|Adventure|Mystery|Sci-Fi|Thriller
Charlotte Rampling,Indira Varma,Neil Maskell,Michael Caton-Jones,Crime|Mystery|Thriller,basic instinct,Charlotte Rampling Indira Varma Neil Maskell Michael Caton-Jones Crime|Mystery|Thriller
Sylvester Stallone,50 Cent,Matt Gerald,Mikael Håfström,Action|Crime|Mystery|Sci-Fi|Thriller,escape pl,Sylvester Stallone 50 Cent Matt Gerald Mikael Håfström Action|Crime|Mystery|Sci-Fi|Thriller
Roxanne McKee,Luke Newberry,Gaia Weiss,Renny Harlin,Action|Adventure|Fantasy,the legend of hercul,Roxanne McKee Luke Newberry Gaia Weiss Renny Harlin Action|Adventure|Fantasy
Morgan Freeman,Bruce McGill,Philip Baker Hall,Phil Alden Robinson,Action|Drama|Thriller,the sum of all fea,Morgan Freeman Bruce McGill Philip Baker Hall Phil Alden Robinson Action|Drama|Thriller
Robert Pattinson,Kristen Stewart,Anna Kendrick,David Slade,Adventure|Drama|Fantasy|Romance,the twilight saga: eclip,Robert Pattinson Kristen Stewart Anna Kendrick David Slade Adventure|Drama|Fantasy|Romance
Robert De Niro,Marlon Brando,Gary Farmer,Frank Oz,Crime|Drama|Thriller,the sco,Robert De Niro Marlon Brando Gary Farmer Frank Oz Crime|Drama|Thriller
Steve Carell,Miranda Cosgrove,Jack McBrayer,Pierre Coffin,Animation|Comedy|Family,despicable ,Steve Carell Miranda Cosgrove Jack McBrayer Pierre Coffin Animation|Comedy|Family
Vincent Pastore,Robert Blake,Aida Turturro,Joseph Ruben,Action|Comedy|Crime|Drama|Thriller,money tra,Vincent Pastore Robert Blake Aida Turturro Joseph Ruben Action|Comedy|Crime|Drama|Thriller
Liam Neeson,Morgan Freeman,Seth MacFarlane,Seth MacFarlane,Comedy,ted,Liam Neeson Morgan Freeman Seth MacFarlane Seth MacFarlane Comedy
Max Minghella,Ashraf Barhom,Rupert Evans,Alejandro Amenábar,Adventure|Drama|History|Romance,ago,Max Minghella Ashraf Barhom Rupert Evans Alejandro Amenábar Adventure|Drama|History|Romance
Janeane Garofalo,Wes Studi,Eddie Izzard,Kinka Usher,Action|Comedy|Fantasy|Sci-Fi,mystery m,Janeane Garofalo Wes Studi Eddie Izzard Kinka Usher Action|Comedy|Fantasy|Sci-Fi
Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Bobby Farrelly,Comedy|Romance,hall pa,Jenna Fischer Larry Joe Campbell Stephen Merchant Bobby Farrelly Comedy|Romance
Al Pacino,Rip Torn,Debi Mazar,Michael Mann,Biography|Drama|Thriller,the insid,Al Pacino Rip Torn Debi Mazar Michael Mann Biography|Drama|Thriller
Michael Raymond-James,Abraham Benrubi,Graham McTavish,Craig Gillespie,Action|Drama|History|Thriller,the finest hou,Michael Raymond-James Abraham Benrubi Graham McTavish Craig Gillespie Action|Drama|History|Thriller
Leonardo DiCaprio,Simon McBurney,Michael Gaston,Ridley Scott,Action|Drama|Thriller,body of li,Leonardo DiCaprio Simon McBurney Michael Gaston Ridley Scott Action|Drama|Thriller
Steve Carell,Stephanie Szostak,Bruce Greenwood,Jay Roach,Comedy,dinner for schmuc,Steve Carell Stephanie Szostak Bruce Greenwood Jay Roach Comedy
Rufus Sewell,Dominic Cooper,Benjamin Walker,Timur Bekmambetov,Action|Fantasy|Horror,abraham lincoln: vampire hunt,Rufus Sewell Dominic Cooper Benjamin Walker Timur Bekmambetov Action|Fantasy|Horror
Will Patton,Kevin McNally,Maury Chaykin,Jon Amiel,Action|Crime|Romance|Thriller,entrapme,Will Patton Kevin McNally Maury Chaykin Jon Amiel Action|Crime|Romance|Thriller
Hector Elizondo,Kaitlyn Dever,Nancy Travis,uknown,Comedy,last man standing          ,Hector Elizondo Kaitlyn Dever Nancy Travis uknown Comedy
Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Rob Bowman,Drama|Mystery|Sci-Fi|Thriller,the x fil,Martin Landau Mitch Pileggi Jeffrey DeMunn Rob Bowman Drama|Mystery|Sci-Fi|Thriller
Colin Firth,Nonso Anozie,Owen Teale,Doug Lefler,Action|Adventure|Fantasy|War,the last legi,Colin Firth Nonso Anozie Owen Teale Doug Lefler Action|Adventure|Fantasy|War
Tom Hanks,Vin Diesel,Matt Damon,Steven Spielberg,Action|Drama|War,saving private ry,Tom Hanks Vin Diesel Matt Damon Steven Spielberg Action|Drama|War
Rami Malek,Dominic Cooper,Ramon Rodriguez,Scott Waugh,Action|Crime|Drama|Thriller,need for spe,Rami Malek Dominic Cooper Ramon Rodriguez Scott Waugh Action|Crime|Drama|Thriller
Judy Greer,Lisa Edelstein,Loretta Devine,Nancy Meyers,Comedy|Fantasy|Romance,what women wa,Judy Greer Lisa Edelstein Loretta Devine Nancy Meyers Comedy|Fantasy|Romance
Goran Visnjic,Stephen Root,Denis Leary,Chris Wedge,Adventure|Animation|Comedy|Family,ice a,Goran Visnjic Stephen Root Denis Leary Chris Wedge Adventure|Animation|Comedy|Family
Morgan Freeman,Michael O'Neill,Reece Thompson,Lawrence Kasdan,Drama|Horror|Sci-Fi|Thriller,dreamcatch,Morgan Freeman Michael O'Neill Reece Thompson Lawrence Kasdan Drama|Horror|Sci-Fi|Thriller
Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Steven Spielberg,Biography|Drama|History|War,linco,Joseph Gordon-Levitt Hal Holbrook Bruce McGill Steven Spielberg Biography|Drama|History|War
Keanu Reeves,Marcus Chong,Gloria Foster,Lana Wachowski,Action|Sci-Fi,the matr,Keanu Reeves Marcus Chong Gloria Foster Lana Wachowski Action|Sci-Fi
Tom Hanks,Miko Hughes,Kathleen Quinlan,Ron Howard,Adventure|Drama|History,apollo ,Tom Hanks Miko Hughes Kathleen Quinlan Ron Howard Adventure|Drama|History
Ronny Cox,Rachel Ticotin,Marshall Bell,Paul Verhoeven,Action|Sci-Fi,total reca,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action|Sci-Fi
Judge Reinhold,Aisha Tyler,Eric Lloyd,Michael Lembeck,Comedy|Family|Fantasy,the santa clause,Judge Reinhold Aisha Tyler Eric Lloyd Michael Lembeck Comedy|Family|Fantasy
Hugh Jackman,Eddie Redmayne,Anne Hathaway,Tom Hooper,Drama|Musical|Romance,les misérabl,Hugh Jackman Eddie Redmayne Anne Hathaway Tom Hooper Drama|Musical|Romance
Tom Hanks,Jean Stapleton,Dave Chappelle,Nora Ephron,Comedy|Drama|Romance,you've got ma,Tom Hanks Jean Stapleton Dave Chappelle Nora Ephron Comedy|Drama|Romance
Will Ferrell,Adam Scott,Andrea Savage,Adam McKay,Comedy,step brothe,Will Ferrell Adam Scott Andrea Savage Adam McKay Comedy
Anthony Hopkins,Tony Amendola,Stuart Wilson,Martin Campbell,Action|Adventure|Comedy|Romance|Thriller|Western,the mask of zor,Anthony Hopkins Tony Amendola Stuart Wilson Martin Campbell Action|Adventure|Comedy|Romance|Thriller|Western
Robert Downey Jr.,RZA,Matt Walsh,Todd Phillips,Comedy|Drama,due da,Robert Downey Jr. RZA Matt Walsh Todd Phillips Comedy|Drama
Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt,Biography|Drama|Sport|War,unbrok,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography|Drama|Sport|War
